sentence1,sentence2,score
Can you do this?,"So, CAN you do this?",1.0
I think there isn't a general answer.,I don't think there is an answer for this.,0.8
There are a few things you can do: ,There are a couple things you can try.,1.0
"The key is you have to find something that works for you, and your goals.","You may want it, but the process given to you is what you have to work within.",0.2
You don't have to know.,You don't have equipments/facilities to do research in B.,0.0
I think you've pretty much done your review.,You've pretty much answered your own question.,0.4
There are a few things I think you should do.,There are a few things I don't understand:,0.0
You burn more Calories digesting protein than you do carbohydrates and fat.,"The more you sweat, the faster you will burn calories and fat.",0.4
"It depends on what you want to do next, and where you want to do it.",It depends on what you want to say/imply.,0.2
You got it right.,You've got it right.,1.0
You answered your own question.,You pretty much answered your own question.,1.0
I have the same thing.,I had the same problem as you.,0.6
"Yes, there is a chemical difference.","Yes, there is a reason for it.",0.0
"They can be out of level by a bit, but flat is important.","Yes, although they can be a bit sour.",0.0
I would look at this: U.S.,I would look at this way: ,0.4
You are on the right path.,You're on the right path.,1.0
"If you haven't, you should.","You should, but you don't have to.",0.2
Yes it is common!,The simple answer is yes!,0.6
I don't think that there's any.,I don't think there are any benefits.,0.6
It looks to me that this is set up for what you want:,It is up to you whether you want to do that.,0.4
"Problem is, the system doesn't account for people who could care less about money, or title.",The Joker doesn't care about money.,0.2
"In the first case, I think you don't need it.",So I don't think you need to put it on the cover.,0.2
It is impossible to answer this question without a form check.,"It is difficult, if not impossible, to give a complete answer to this question.",0.4
You need to add this to your resume because it is the only position you have had.,This gives you the opportunity to make your case that you really do have expertise in XXX.,0.4
Work into it slowly.,You work on it slowly.,0.8
"No, you do not NEED a bread machine.",You do not need to worry.,0.0
"Yes, it is possible to publish a paper on model analysis.","Yes, it is hard to publish in a peer reviewed journal.",0.2
"You just have to base your answer on what you do know, which is what you want.","So if that's what you need, you really do have to be explicit about it.",0.2
"Yes, you should mention your experience.","Yes, you should make a résumé.",0.4
I think it is great that you had a test conducted.,I think that's a great plan.,0.4
You don't have to know.,Other than that you don't have a tax issue.,0.0
"Yes, there is a rule against this.",There's no rule against it.,0.2
What are your goals?,What are you goals?,1.0
I'm going to go out on a limb here...,I'm going to be very direct here.,0.4
"If your long stay visa for Switzerland is valid, then you will not need a transit visa.","You do not need a transit visa, but to enter Zurich you will need a visa.",0.4
A few more point to think about:,A few things to think about:,1.0
Now you don't have to be perfect on every answer.,You don't have to know.,0.4
I'm afraid we are out of luck in this one.,I think this is one of those things where you are just out of luck.,1.0
It is more deciding what you should do and what you should get others to do.,Point is: know what you want and don't be afraid to ask for it.,0.0
It varies by the situation.,This varies by institution.,0.8
I have the same thing.,I have the same problem.,0.8
I have the same thing.,I have the exact same problem.,0.8
You are on the right path.,You're right on about the sample definition.,0.0
Primer/paint will not work.,Nope that will not work.,0.4
The best thing you can do is to know your stuff.,The best thing you can do is find something else interesting to do while you wait on hold.,0.4
It's also a matter of taste.,It's mostly a matter of taste.,1.0
I was in a similar situation.,Personally when I was in a similar situation I sent the couple a card and a gift.,0.4
"You can use it, too.","Yes, you can do it.",0.6
You have to decide what you want to get out of this.,You have to find out what works for you.,0.8
It depends on what they are.,It depends on how it's used.,0.2
I had the same problem as you.,I have just had the same problem.,1.0
Sometime if you really want it you might need to pay an agency to get the place for you.,You could probably get a tour agency to do it for you but it would cost you.,0.4
You don't need to know everything.,They just don't want you to know it.,0.2
Also it is useful to keep the consistency in your story.,It is important to keep the story in the scope of your limit.,0.4
I think it's just a habit.,I think it's a bad idea.,0.2
It's not a good idea.,"No, it's not a good thing.",0.8
I'm thinking it's a bad idea. ,I think it's a bad idea.,1.0
"It depends on what you want to do next, and where you want to do it.",You need to pick how and where you want to place your foot and do it.,0.2
You have a problem.,This is a big problem.,0.8
Unfortunately the answer to your question is we simply do not know.,"If the conversation is not about work, you know what the answer is to your own question.",0.4
"Unfortunately, this question cannot be answered in its full generality.",This cannot be answered in general.,0.8
I would personally beware of the Motley Fool.,I would recommend looking at The Motley Fool.,0.4
I think there isn't a general answer.,I don't think there is a single definition.,0.8
It's not a good idea.,Not a good idea.,1.0
You don't need any visa.,You don't have to worry.,0.0
You have to decide what you want to get out of this.,You're probably going to have to read various blogs to get all the information you want.,0.0
I had the same problem as you.,I have exactly the same problem.,1.0
"My answer to your question is ""Probably Not"".",The answer to your question is not really.,0.8
You should do it.,You should never do it.,0.2
I had the same problem as you.,I had the same issue.,0.8
Hope this is what you are looking for.,Is this the kind of thing you're looking for ?,0.8
There are two things to consider:,I think there are two important things to consider:,1.0
It's pretty much up to you.,It is up to you.,1.0
There are a few things you can do: ,There are a few things you need to consider:,0.8
The answer to this and all such similar questions is in two stages:,The answer to both questions is: Yes.,0.2
It is impossible to answer this question without a form check.,This is a part answer to your question,0.0
There are a few things you can do: ,There are a few things I think you should do.,0.6
"It depends on what you want to do next, and where you want to do it.",It depends on what and where you are going to do.,0.8
There are a few possible reasons.,There are a few reasons that paint wrinkles.,0.6
There are three options:,There are only three options:,1.0
So think it in this way.,Think of it this way.,1.0
Maybe this could work for you.,Maybe this can work for you.,1.0
"It depends on what you want to do next, and where you want to do it.","They can, but the way to do it depends on what you have available.",0.2
Microwave would be your best bet.,Your best bet is research.,0.0
"In the US, it will depend on the school.",This will depend on the university.,0.8
It's not a good idea.,"It's not just a good idea, it's an excellent idea.",0.2
There are a few things I think you should do.,There are a few minimally-effective things you can do at the personal level.,0.8
I've had this same problem.,I had this same situation.,0.6
This is not a good idea.,Not a good idea.,1.0
I realized there is already an accepted answer but I figure I would add my 2 cents.,I know this is an old question but I feel I should add my 2 cents.,1.0
"Yes, there is a reason to not do what you propose.","Yes, there is a chemical difference.",0.0
"Yes, there is at least one to my knowledge.","To my knowledge, there's no time requirement.",0.2
You don't have to worry.,You don't have to do anything to season it.,0.0
There is no test that can tell you if it is sealed or not.,There is no code telling you that you cannot do this.,0.0
"Yes, you should make a résumé.","Yes, you should talk to your professor.",0.0
You shouldn't feel any obligation at all.,You don't need sauce at all.,0.0
I've had this same problem.,I had this problem before.,0.8
You may have to experiment and find what you like.,You have to find out what works for you.,1.0
"My answer to your question is ""Probably Not"".",This is a part answer to your question,0.2
The key thing to realize here is that it's not your job to make people do their work.,It really isn't your problem how they are going to find a qualified person to do the job.,0.2
"Not a direct answer to the question, but something to consider.","Not a real answer to your question, but maybe it helps.",0.8
There are two possible causes for this:,There are two options for you - ,0.2
I agree with the other comments.,I agree with the previous comments.,1.0
The answer to both questions is: Yes.,"If the answer to any of these questions is yes, a PhD may be worthwhile for you.",0.6
It rather depends on which country you're in.,That depends on which country you are in.,1.0
This is a terrible idea.,This is a bad idea.,1.0
Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In New York, Vivendi shares were 1.4 percent down at $18.29.",0.28
Bremer said one initiative is to launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.,"Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details.",0.72
Governor Gray Davis estimated yesterday that the fires could cost nearly $2 billion.,State officials estimated the cost at nearly $2 billion.,0.7
The American Express Corp. has pledged at least $3 million of more than $5 million needed.,"The city had requested federal funds, but withdrew that request when American Express pledged at least $3 million.",0.64
"Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15 with 85-mph wind.","Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15, classified as a Category 1 hurricane with maximum sustained winds of 85 mph.",0.8
Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.,Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.,0.4
"Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.","His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia.",0.72
"But Odette is the first to form over the Caribbean Sea in December, the Center said.",It is the first named storm to develop in the Caribbean in December.,0.84
The AFL-CIO is waiting until October to decide if it will endorse a candidate.,The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.,0.8
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.","The plan, called The NIH Roadmap, was developed over 14 months with help from more than 300 consultants in industry and academia.",0.65
Local police authorities are treating the explosion as a criminal matter and nothing has been ruled out.,Acting New Haven Police Chief Francisco Ortiz said police were treating the explosion as a criminal matter.,0.68
Chiron already has nearly 20 percent acceptances from PowderJect's shareholders.,Chiron has acceptances from holders of nearly 20 percent of PowderJect shares.,0.73
"""We believe we are fully prepared to roll out the [touch-screen] machines for the 2004 presidential primary,"" said Gilles W. Burger, State Board of Elections chairman.","""We believe we are fully prepared to roll out the revised Diebold machines,"" said Gilles W. Burger, chairman of the Maryland State Board of Elections.",0.75
"Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.","Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion.",0.24
Another was in serious condition at Northwest Medical Center in Springdale.,"At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.",0.76
"Sean Harrigan, president of the California Public Employees' Retirement System, also suggested paring down the NYSE's 27-member board, changing its composition and making it more accountable.","Sean Harrigan, president of the California Public Employees' Retirement System, also suggested paring the NYSE's 27-member board and allotting more seats to investors outside the securities industry.",0.68
The Swedish central bank was also meeting on Wednesday and widely expected to announce a cut on Thursday.,"The Swedish central bank, also meeting on Wednesday, is widely expected to announce a cut on Thursday of as much as half a percentage point.",0.64
"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.","His sport utility vehicle was found June 25, abandoned without its license plates in Virginia Beach, Va.",0.72
Heatley was sixth in the league in goals last season with 41 and ninth in points with 89.,Heatley led Atlanta in scoring last season with a team-record 41 goals and 48 assists.,0.6
"""Tony's not feeling well,"" Spurs coach Gregg Popovich said.","We're thrilled to be up 3-2,'' Coach Gregg Popovich said Wednesday.",0.32
Electronic Data Systems Corp. Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy.,"In a regulatory filing, EDS said the SEC had asked for information related to its troubled IT outsourcing contract with the US Navy.",0.64
"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.,0.76
The next court session will be when the three-judge tribunal announces its verdict in mid-February.,The court's three-judge tribunal was expected to give its verdict next February.,0.84
The consensus among Wall Street analysts was for a loss of 28 cents a share.,Analysts surveyed by First Call were expecting sales of $723 million and a loss of 28 cents a share.,0.6
"The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000.","The civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation's economic health.",0.8
Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.,0.95
The compensation committee will prohibit securities industry directors from sitting on it.,The exchange also said its five-person compensation committee will consist only of directors from outside the securities industry.,0.71
Q: Can I buy coverage for prescription drugs right away?,Congress has added a new benefit - an option to buy insurance coverage for prescription drugs.,0.25
"Shares of Mandalay closed down eight cents to $29.42, before the earnings were announced.",Shares of Mandalay closed down 8 cents at $29.42 Thursday.,0.8
"In 1999, the building's owners, the Port Authority of New York and New Jersey, issued guidelines to upgrade the fireproofing to a thickness of 1{ inches.",The NIST discovered that in 1999 the Port Authority issued guidelines to upgrade the fireproofing to a thickness of 1 1/2 inches.,0.6
"The dollar was last at $1.1149 to the euro, close to its strongest level since April 30.","The dollar pushed as high as $1.1115 to the euro in early trade, extending Tuesday's one percent rally to hit its strongest level since April 30.",0.52
"The single currency rose as far as 135.13 yen , matching a record high hit shortly after the euro's launch in January 1999.","The single currency rose as far as 135.26 yen , its highest level since the introduction of the single currency in January 1999.",0.7
"A New Castle County woman has become the first Delaware patient to contract the West Nile virus this year, the state's Department of Health reported.","A 62-year-old West Babylon man has contracted the West Nile virus, the first human case in Suffolk County this year, according to the county health department.",0.3
He also reaffirmed his wish to resolve the North Korean nuclear crisis peacefully.,But the North Korean nuclear crisis has dominated his time in office.,0.4
"A rebel who was captured said more than 2,000 insurgents were involved in the attack.","A captured rebel said 2,100 combatants had been involved in the offensive.",0.7
"Kyi, a U.N. envoy says, as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed.","JAPAN added to growing international pressure on Burma yesterday, threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi.",0.6
"Wal-Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street's modest expectations.","Wal- Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. posted May sales that fell below Wall Street's modest expectations.",0.95
"Mr Eddington warned yesterday that the future of the airline was ""in the hands of the negotiators"".","""The future of BA is in the hands of the negotiators,"" Eddington told British Broadcasting Corp. television on Sunday.",0.68
"""Both of these kids are in wonderful physical condition right now,"" he said during a press briefing at the hospital.","""Both of these kids are in wonderful physical condition right now,"" said Goodrich, also director of pediatric neurosurgery at the Children's Hospital at Montefiore.",0.68
"On the cell's surface, the foreign components are recognised by other cells that then realise it is infected and kill it.",The foreign bits are recognized by other cells that realize it is infected and kill it.,0.85
Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.,"The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday.",0.76
Knox County Health Department is following national Centers for Disease Control and Prevention Protocol to contain infection.,The health department spokesperson added the department is following Centers for Disease Control protocol.,0.6
"Schools Chancellor Joel Klein said the push for higher standards and accountability ""is showing results.""",Schools Chancellor Joel Klein said he was pleased by the results.,0.6
One witness told Anatolian he saw the plane on fire while it was still in the air.,One witness told the Anatolian news agency he saw the plane on fire in mid-air.,0.92
He proposed a system under which it would take fewer and fewer votes to overcome a filibuster.,Frist proposed a process in which it would take gradually fewer votes to overcome filibusters preventing final votes on judicial confirmations.,0.6
"Hormone replacement therapy that combines estrogen and progestin doubles a woman's risk of breast cancer, a British study of more than a million women has found.","A major British study has added to the evidence that hormone replacement therapy increases the risk of breast cancer, especially when women receive a combination of estrogen and progestin.",0.85
"Barbini's comments came Tuesday, the second day of the Ministerial Conference and Expo on Agricultural Science and Technology.",U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.,0.36
"Yesterday, shares closed up 29 cents, or 0.54 percent, at $54.32.","Amazon's shares yesterday closed at $54.32 on the Nasdaq Stock Market, up 29 cents.",0.56
Lawtey is not the first faith-based program in Florida's prison system.,But Lawtey is the first entire prison to take that path.,0.25
The transaction will grant Handspring stockholders 0.09 of a share of Palm--and no shares of PalmSource--for each share of Handspring common stock.,"Under the proposed terms of the transaction, and following the spinoff of PalmSource, Palm will exchange 0.09 shares for each share of Handspring.",0.75
"The giant rock was first observed on August 24 by Lincoln Near-Earth Asteroid Research Program, based in Socorro, New Mexico.","The rock was first observed by the Lincoln Near Earth Asteroid Research Program, also known as LINEAR.",0.75
"""We need to change old habits and seriously rethink business-as-usual.""","He urged employees to ""avoid complacency"" and to ""change old habits and seriously rethink business-as-usual.""",0.75
"""These despicable acts were committed by killers whose only faith is hate,"" Bush said, adding that the United States will find the killers.",These despicable acts were committed by killers whose only faith is hate and the United States will find the killers and they will learn the meaning of American justice.,0.7
"There are a total of 659 women enrolled at the academy, the report said.",There were 659 women enrolled at the academy at the time of the survey.,0.92
"It is a national concern that will touch virtually every American,"" Abraham said.","The impact of natural-gas shortages ""will touch virtually every American,"" Energy Secretary Spencer Abraham warned yesterday.",0.65
"In the United States, 20.7 percent of all women smoke.","Nevada is where the most women smoke, 28 percent.",0.27
It has a margin of error of plus or minus 4 percentage points.,That poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points.,0.5
"Shares of MONY were gaining $2.57, or 9%, to $31.90 in after-hours trading on Instinet.",MONY shares rose 8.76 per cent to $31.90 in after-hours trading in New York.,0.65
Diana was at her lowest ebb when she wrote the letter to Paul Burrell claiming there was a plot to kill her.,Burrell said Diana wrote a letter in October 1996 claiming there was a plot to kill her in a smash and gave it to him to keep as insurance.,0.6
Gillespie sent a letter to CBS President Leslie Moonves asking for a historical review or a disclaimer.,Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves.,0.72
"""Let's show we won't let them off,"" said Marc Blondel, leader of the Force Ouvriere union.","""The movement to defend pensions is gaining momentum, and we won't give up,"" said Marc Blondel, leader of the Force Ouvriere union.",0.44
"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come.",0.96
"Under Mexican law, bounty hunting is considered a form of kidnapping.","Bounty hunting is illegal in Mexico, and the bounty hunter was charged with kidnapping.",0.8
The announcements were made at the International Broadcasting Convention (IBC) in Amsterdam.,"The submission was on Monday, but the announcement was made Friday at the International Broadcasting Convention in Amsterdam.",0.68
Its keywords are supported by Chinese language Web portals.,"Chinese language Web portals also support 3721 keywords, the Web site said.",0.64
The consensus estimate of analysts polled by Thomson First Call called for a profit of $1.70 per share.,"Analysts polled by Reuters Research, a unit of Reuters Group Plc, on average forecast profit of $1.69 per share.",0.5
"Initial autopsy reports show they died of dehydration, hyperthermia and suffocation.","Two more died later, and initial autopsy reports show they succumbed to dehydration, hypothermia and suffocation.",0.65
Authorities appealed to the public Friday to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores.,Authorities looked to the public yesterday for help in solving the deadly sniper-style shootings of three people outside Charleston-area convenience stores.,0.76
"Second comes HP (27 percent with $2.9 billion, up just 0.4 percent).",HP fell to second place with server sales growing 0.4 percent to $2.9 billion.,0.88
U.S. forces recently apprehended some 40 suspected foreign militants near the Syrian border and are now interrogating them.,"The Third Armored Cavalry Regiment recently apprehended about 40 suspected fighters near the Syrian border, officials said.",0.7
"That compares with a profit of $1 million, or breakeven, on $1.39 billion in revenue during the same period last year.","Total revenue for the second quarter was $1.48 billion, up 7% from $1.39 billion in the same period last year.",0.3
Bolivia's army fought to stop columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread.,"Bolivia's army fought to stop a column of dynamite-wielding miners from streaming into the besieged capital on Wednesday, leaving two dead as a popular uprising against the President spread.",0.56
"The A920 comes with a printer, scanner, and copier for $89.","Dell's Personal All-in-One A920 is an entry-level device that combines printer, scanner and copier functions for $89.",0.72
"But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.","But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.",0.84
"Singapore reported no suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient.","Still, Singapore quarantined 70 people who had been in close contact with the scientist.",0.6
"Downstream at Mount Vernon, the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said.","The Skagit was expected to crest during the night at 38 feet at Mount Vernon, 10 feet above flood stage, the National Weather Service said.",0.6
"On Monday, the Dow declined 5.25, or 0.1 percent, at 8,983.80, having shed 2.3 percent last week.","In early trading, the Dow Jones industrial average was down 39.94, or 0.4 percent, at 8,945.50, having slipped 3.61 points Monday.",0.32
"The injured were taken to hospitals in Jefferson City and Columbia, a college town about 30 miles to the north.","The injured were taken to hospitals in Jefferson City and Columbia, about 48km north; their conditions were not immediately available.",0.8
"The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.","Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day.",0.27
"In addition to O'Connor, Rehnquist's majority opinion was joined by Justices David Souter, Ruth Bader Ginsburg, and Stephen Breyer.","Joining him in the majority opinion were Justices Sandra Day O'Connor, David H. Souter, Ruth Bader Ginsburg and Stephen G. Breyer.",0.72
"Martin, 58, will be freed today after serving two thirds of his five-year sentence for the manslaughter of 16-year-old Fred Barras.",Martin served two thirds of a five-year sentence for the manslaughter of Barras and for wounding Fearon.,0.6
"IDEC shareholders would own 50.5 percent of the stock of the combined company, and Biogen shareholders the remaining 49.5 percent.",The companies said Idec holders would own about 50.5 percent of the stock of the combined company.,0.6
"Nonetheless, the open-source guru insisted, ""This attack was wrong, and it was dangerous to our goals.""","""This attack was wrong, and it was dangerous to our goals,"" Raymond said.",0.7
"Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.",NEW YORK -(Dow Jones)- Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering.,0.8
"The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.","The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday.",0.44
"The Dow Jones industrial average ended the day down 10.89 at 9,837.94, after advancing 111.04 Wednesday.","The Dow Jones industrial average fell 10.89 points, or 0.11 percent, to 9,837.94.",0.68
Perry has since called two special legislative sessions to try force the redistricting plan through.,"Since then, Texas Gov. Rick Perry has called two special sessions trying to push the measure through.",0.7
"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22.",The agency said it would consider as timely any tax returns or payments due from Friday through Aug. 22 if they are completed by Aug. 22.,0.85
Democrats currently hold a 17-15 advantage in the state's congressional delegation.,The Texas congressional delegation now is 17-15 Democratic.,0.52
"Chaudhry was released 56 days later and the Fiji military installed an all-indigenous government led by Qarase, who won democratic elections in September 2001.","The Fijian military installed an all-indigenous government led by Mr Qarase, who won democratic elections in September 2001.",0.6
New legit download service launches with PC users in mind.,BuyMusic is the first subscription-free paid download music service for PC users.,0.48
"The 30-year bond US30YT=RR rose 22/32 for a yield of 4.31 percent, versus 4.35 percent at Wednesday's close.","The 30-year bond US30YT=RR grew 1-3/32 for a yield of 4.30 percent, down from 4.35 percent late Wednesday.",0.76
"Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.","Last week, his lawyers asked Warner to grant clemency under certain conditions that would have lead to a new sentencing hearing.",0.6
Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch.,Gov. Linda Lingle and other dignitaries are scheduled to be at the base to watch the launch.,0.7
"The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager.""","Ebbers' lawyer, Reid Weingarten, said despite the thorough investigation, ""the best the investigators can do is nitpick about the process and substance of isolated business decisions.""",0.7
"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities.","The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi, alleging abuse of juvenile offenders at two state-run facilities.",0.75
The Chelsea defender Marcel Desailly has been the latest to speak out.,"Marcel Desailly, the France captain and Chelsea defender, believes the latter is true.",0.45
She was the only woman in her unit and a member of Teamsters Local 995.,She was the only woman employed as a warehouse worker and heavy equipment operator and the only woman in her Teamsters local.,0.65
"Special police detained Khodorkovsky early on Saturday in the Siberian city of Novosibirsk, where his plane had made a refuelling stop.",Police detained Khodorkovsky early on Saturday when his jet made a refueling stop in the Siberian city of Novosibirsk.,0.96
"Sony Ericsson also said it would shut down its GSM/UMTS R&D center in Munich, Germany, to increase profitability.","Sony Ericsson also said it plans to close its R&D site in Munich, Germany, for GSM and UMTS handsets.",0.76
But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.,"China is scrambling to stop the disease from spreading to the countryside, where most of its 1.3 billion people live.",0.68
Kansas Department of Health and Environment records show there were 88 abortions performed on girls age 14 and younger last year.,"Statistics from the Kansas Department of Health and Environment show that 11,844 abortions were performed in the state last year.",0.4
"""The discovery that the MAP bug is present in the vast majority of Crohn's sufferers means it is almost certainly causing the intestinal inflammation,"" it said in a statement.",The researchers say that the fact the MAP bug is present in the vast majority of Crohns sufferers means it is almost certainly causing the intestinal inflammation.,0.92
"The life expectancy for boys born in 2001 was 74.4 years, up two years since 1990.","According to the report, average life expectancy has increased by nearly two years since 1990.",0.7
"For the full 12-month period, high-speed cable modem connections increased by 49 percent.","For the full year period ending June 30, 2003, high-speed lines increased by 45 percent.",0.67
We believe the report is fully consistent with what the courts have ruled ... that the department's actions are fully within the law.,Comstock said several federal courts have ruled that the detentions are fully within the law.,0.53
"Indeed, Mr. Weill, a self-described workaholic, said he planned to remain very involved in the company.","Still, Mr. Weill will remain very much a power at the company.",0.64
"Gregory Parseghian, a former investment banker, was appointed chief executive.",Greg Parseghian was appointed the new chief executive.,0.76
"The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, to Farida, a ""highly cosmopolitan and well-educated young woman"".","The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, as an example of how JI uses marriage to grow.",0.68
The Cradle of Liberty Council isn't the first one to buck the national group's stance.,Philadelphia's council is not the first to defy the national policy.,0.68
"""It''s absurd,"" Funny Cide's trainer Barclay Tagg said.","Meanwhile, Funny Cide's trainer, Barclay Tagg, called the allegations ""ridiculous.""",0.72
"Last year, Cuban officials said none of nearly two dozen nominated Cuban musicians received U.S. visas on time to attend the Grammys in Los Angeles.",Cuban officials said that last year none of about two dozen nominated Cuban musicians received U.S. visas in time to attend the Latin Grammys.,0.76
The American conservatives are clearly in the minority within the Episcopal Church.,The letter indicates the Vatican's interest in bolstering conservatives within the Episcopal Church.,0.36
"The New York senator's new book, ""Living History,"" appears a certain bestseller.","Hillary Clinton, the New York senator and former first lady, has a book out Monday titled Living History.",0.64
"""Canada is a small country, and it needs companies like this, deals like this.""","A passionate nationalist, Mr. D'Alessandro said: ""Canada is a small country, and we need more companies like this.""",0.6
Police official S.K. Tonapi told Reuters at least 40 people had been killed and more than 100 wounded.,State interior ministry spokesman Vasant Pitke told Reuters that at least 42 people had been killed and 112 injured.,0.36
"""Jeremy's a good guy,"" Barber said, adding: ""Jeremy is living the dream life of the New York athlete.","He also said Shockey is ""living the dream life of a New York athlete.",0.55
"But Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) declined 3,000 yen, or 0.65 percent, to 456,000 yen.","Sumitomo Mitsui Financial (JP:8316: news, chart, profile) was down 2.5 percent at 198,000 yen.",0.32
"About 1,557 genes on chromosome 6 are thought to be functional.","The remaining 1,557 genes are believed to be all functional.",0.55
"In the second quarter, Anadarko now expects volume of 46 million BOE, down from 48 million BOE.",Production for the second quarter was cut to 46 million barrels from 48 million barrels.,0.65
"U.S. troops encountered no resistance during the five-hour sweep near Tikrit, Saddam Hussein's hometown and the center of a region of Baath Party supporters.",Tikrit is Saddam Hussein's hometown and the region around it is known as a hotbed of Baath Party supporters and former high-ranking Iraqi military officials.,0.45
"Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote while the independent Dragan Hajdukovic got four percent.","Miodrag Zivkovic, the leader of the pro-independence opposition Liberal Alliance, came in second with 31 percent of the vote.",0.6
"In the year-ago period, Pearson posted a 26 million pre-tax profit.",A year ago the firm posted a profit of 26 million pounds.,0.64
"Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.","Some 34.7 million shares have been tendered, Oracle said in a statement.",0.75
Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,0.52
"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.",Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.,0.25
